id,content,recommended,reviewer_segment
fa2da850-3b6e-5321-adbb-d65ff11164d4,"Просто фантастика. Підсумовуючи на початку: я вийшла до своєї найкращої подруги та двох працівників магазину, і всі троє зупинилися та сказали: ""Ого!"" Це стримана, але приголомшлива річ. Я приміряла цю сукню спонтанно, і як же я рада, що зробила це. Мій зріст 163 см, вага 63,5 кг, об'єм грудей 34B, вага зосереджена в нижній частині тіла. Зазвичай ношу розмір 4 у сукнях фасону ""приталений верх, розкльошений низ"", але тут розмір 2 сів ідеально. Я вражена тим, наскільки неймовірне мереживо: щільне, добре пришите до основної тканини сукні, розкішне, але не надто 'мереживне'. Основна тканина...",1,material_and_quality
408946ad-f98d-5d1e-bd54-226acfd0ec5b,"Beautiful fabric but poor design The fabric is beautiful, a bit sheer, but overall lovely. however, the sizing is really off. fyi: 36c, broad shoulders/back - my usual size in a fitted top (this one is very fitted in the waist and bust) is a 12. i tried the 12 and 14, and the side zipper wouldn't come near closing. it is very, very nipped right under the bust. so, if you have no bustline and a super small waist, this top is for you. if you are like me, high waist and straight up and down, this is a pass. in fact, it is really h",1,fit_and_sizing
b184f84f-c19d-58f5-9bfe-44eea52a9ec1,"Wonderful and comfortable dress, very sweet.",1,overall_wearability_and_value
0f9b366b-5154-5b15-9f64-9009f73b2a2e,"Цей топ просто ніякий. Я не в захваті від цього топа. Він чудово виглядав онлайн, але вживу це просто нудний і безжиттєвий топ.",0,style_and_appearance
d9031bad-7e48-5267-b085-6b56152299af,"Not what i thought These leggings were way longer and darker then appeared on model. they also were see through or beige color when stretched across hip. especially for the high cost, there are much better althleisure leggings on the market.",0,material_and_quality
baf4000f-07d6-54d8-b872-5c6f71884d58,"Sadly had to return I was so excited to purchase this dress for my masters graduation party. it looks beautiful on but i could not get over one little detail. the structure of the top falls funny on your chest - a bit too high from the rest of the pulled fabric. it doesn't look right. if you have a necklace that falls perfectly on the piece of fabric, like the main photo shown, you are good. the third photo with the short necklace shows this issue best.",0,fit_and_sizing
c8661aab-9624-5e20-b488-3649f67c7ca3,"Comfortable and professional These pants are made of a beautiful fabric that really brings out the rich color. like others have said they fit almost like high-waisted leggings, which i for one love. it makes them really comfortable while the nice, heavy fabric and lovely tailoring make it appropriate for an office. i do find that the pockets are pretty useless, as having anything in them ruins the lines of the trousers. the zipper is a bit pokey as well.",1,material_and_quality
5432161e-f872-55a3-b706-63729b863b7a,"Перехідна модель. Я купила цю сукню в чорному кольорі і думаю, що вона чудово підійде для перехідного періоду, але також буде ідеальною влітку. На мені вона не надто низько, що іноді є проблемою. Пройми для рук здаються трохи великими. Мій зріст 160 см, тому на мені вона не така коротка. Я дуже задоволена цією покупкою. До того ж, у неї є кишені!",1,fit_and_sizing
82c9b066-63da-517c-9c82-43d8f240c805,"Дуже задоволена! Я люблю цей бренд, і розмір 8 сів ідеально. Зазвичай я ношу розмір 8 у спідницях цього магазину, і ця не виняток. М'який денім середньої або важкої щільності, темнішого відтінку, з широким А-силуетом. Кишені виразні і надають спідниці характеру. На мій зріст 163 см вона досить довга і виглядає пишною. Я купила її на розпродажі з промокодом і дуже рада, що змогла її отримати, оскільки в моєму розмірі вона стала розпроданою моделлю. Поділ має широкий шов, що надає йому гарного вигляду. Я з нетерпінням чекаю...",1,fit_and_sizing
f64693ac-7170-5bc3-a7f4-1802c12092ed,"Збіглася! Це дуже мила сукня. Вона була ідеальною, поки я її не випрала. Проблеми, які виникли після прання: зовнішній бавовняний шар сукні зменшився в довжину, тоді як внутрішня чорна підкладка — ні, тому чорна підкладка визирає на добрий дюйм-два. І оскільки сукня стала коротшою, я не можу носити її без велосипедних шортів, особливо ззаду, бо там вона ще коротша, і якщо нахилитися, все буде видно. Я так розчарована якістю, тому що це дуже мила, дуже...",0,material_and_quality
09627a05-41f2-54d9-a605-4aea29367bd0,"Really wanted to like it, but... I really wanted to like this dress and was so disappointed when it came in the mail. if you have any sort of hips, the light pattern in the middle doesn't do you any favors. this made my hips look soooo wide! and the seaming and gathering in the middle was just off. if it was one continuous piece of fabric it might look better. with the seam, the pattern was cut up and looked pieced together. that just drew too much attention to my stomach and hips. it had to go back.",0,style_and_appearance
892579c2-72c3-5ee3-8f07-4ce3b7b89c05,"Тьмяний колір, дивний крій. Не змогла її носити, навіть з поясом. Колір слонової кістки в реальності темніший — брудний світло-коричневий, як поношений вінтаж. ""Занижена талія"" зовсім не занижена, це просто крій, схожий на одяг для вагітних, який починається вільно і квадратно високо (нижче грудей), а потім різко розширюється на рівні пупка (не на низьких стегнах) у спідницю. Зазвичай я вважаю А-силуети хорошими для створення ілюзії стрункої, витонченої талії, але ця сукня цього не робить — додає десять фунтів. Поліестерова тканина важка/спекотна; віскозна підкладка незручна і не спадає/не драпірується. (Зріст 160 см, вага 57,6 кг, 34A, приміряла XS)",0,fit_and_sizing
3cd321f1-c0c0-5198-9a63-f99ea8567de5,"Very pretty, but . . . This blouse is very pretty, but the overlap in the front is a little ""strange."" it seems to fall open and will require either a pretty pin to hold it closed or a cami underneath. despite that ""flaw"" i am glad that i purchased this blouse. the trim at the shoulders gives it a romantic and special appeal.",1,style_and_appearance
9ea75c68-87a5-5137-87be-e7794fe94a90,"Just not for me The fabric felt beautiful, and it felt great on, but once i looked in the mirror it just looked too housedress like. maybe because it runs large. the price seemed high as well. i wanted to love it but i had to return.",0,overall_wearability_and_value
8c2d3a32-2c2d-5e89-8821-56d8b300282e,"Обожнюю цю футболку! Думаю, коли вона нова, вона велика, а потім збігається до потрібного розміру. Принаймні, так сталося у мене. Вона дійсно трохи збіглася після одного прання, але не суттєво. Я купила її в розмірі M і відчуваю, що вона залишилася в цьому діапазоні. Дуже мило виглядає з шортами — повітряна, легка. Обожнюю білий колір. Замовляю інший колір!",1,overall_wearability_and_value
d899e2d9-5f7c-597f-a28a-bf5151451968,"Cozy and pretty but sheds a lot This is a beautiful and warm sweater, well cut and easy to dress up or down. the biggest problem is the extreme shedding which looks messy against darker clothing, especially against wool or cashmere winter coats.",0,overall_wearability_and_value
17e5ffa1-086d-5d05-8bb5-45b0cd4b23b3,"Гарна. Досить мила, приємна на дотик. Розмір відповідає дійсності, а кольори яскраві, як на зображенні. Я ношу розмір M у більшості одягу цього магазину, і ця річ сіла чудово.",1,style_and_appearance
c67b7357-db94-57eb-9e85-bd39103caaf6,"Loose waist I tried these on as a return at my store and sadly, they fit great everywhere ecept at the waist. i had almost 2 inches gaping at the waist... my usual size. the rest of the pant was absolutely awesome though. for reference, i tried n a 25 and am 115 lbs and short... bummer htey don't come in petite or 24...",1,fit_and_sizing
b200e794-2e20-575c-9209-074a0346449a,"Обожнюю, обожнюю цей топ! Цей топ/блузка вільного крою, і мені подобається дизайн. Він одразу був зручним і, здавалося, відповідав розміру. Я одягла його на сімейну подію зі светром, чорними легінсами та чоботами. Мій зріст 165 см, розмір грудей 36D, і зазвичай я ношу розмір M у топах цього магазину, і цей сів чудово з самого початку, просто обожнюю його!",1,overall_wearability_and_value
5b6eaa3f-b526-5d39-ada6-fd3f8642a94f,"Потрібно бути високою та худою. Я так хотіла полюбити це пальто. Матеріал чудовий, і на вішаку воно виглядає гарно, але щоб його носити, потрібно бути високою та худою. Якщо у вас є стегна, забудьте про нього (мої стегна 38"") – ви будете виглядати неймовірно масивно знизу. Куртка також дивно сиділа на плечах... ніби пройма була пришита занадто низько по руці, тому рухи рук були обмежені, це було дивно. Але вона гарно застібалася без будь-якого натягу, тож справа була не в розмірі. Я купила розмір M, при зрості 5'5"" і вазі 140 фунтів.",0,fit_and_sizing
0d2f6778-87b2-5dfa-8d41-67d0330c6923,"Розвалилися після 3 носінь. Я полюбила ці штани, щойно їх одягла, і була така щаслива, що замовила їх. Але я одягала їх лише 3 рази — і тільки на вечері з друзями, навіть не на цілий день — і шви на обох штанинах розійшлися! Думаю, штучна шкіра просто не пристосована витримувати розтягування облягаючих легінсів. Я була дуже засмучена цим, тому що ці штани такі шалено милі. Але якщо вони не витримують кількох повсякденних носінь, то просто немає сенсу... На щастя, магазин дотримався свого блискучого обслуговування клієнтів...",0,material_and_quality
bce9b57b-5695-50d8-b84f-eab0bdf24be1,"Great dress but not functional I loved this dress. it runs small (i'm normally a 2) so i had to get a 4. in the fitting room, the zippers got stuck a lot. i assumed it was just from the way the waist was sewn in. finally i found a dress that would zip pretty well. i went to put on this dress for my rehearsal dinner the night before my wedding. my fiance and i tried in vain for 20 minutes to try to zip it up... and then it broke. the part that was zipped became unzipped and the zipper had no where to go. it was awful. i co",0,overall_wearability_and_value
67f97842-b2c1-5619-8882-e09eeae072c9,What a great top!! unusual design,1,style_and_appearance
31ce244e-5a04-5b78-8404-382e5409f62b,"Eye-catching and unique These shorts are very well made and the embroidery work is beautiful. the dark yellow is a little bit more orangy looking than in the pictures, but is still a pretty color. don't expect any give or stretch with these shorts.",1,style_and_appearance
1d563b60-5050-59af-add4-18ec101035d9,"Успіхів з одяганням! Щоб одягнути цей бюстгальтер, потрібно бути акробаткою. Він одягається через голову, і мені знадобилася допомога моєї 8-річної доньки, щоб стягнути його нижче ліктів. Неймовірно непрактично. Чому, ну чому Хізер не зробила застібку на гачки та петлі замість цього?",0,overall_wearability_and_value
441f43ac-1571-57f2-82d4-817f58305360,Love it! I didn't realize how much i would love this. wore it to work the other day and got more compliments than i have in a very long time on an outfit! it's comfortable and easy and flattering. bought this totally on a whim and so glad i did!,0,overall_wearability_and_value
9f4d7c03-dedc-5018-925f-c396dfeb8522,"Обережно. Я щойно отримала цю сукню поштою і приміряла її. Вона мені сподобалася, розмір ідеально відповідав дійсності, і вона дуже м'яка та зручна. Однак, схоже, чорна смугаста ділянка полиняла на білу частину, і тепер є сірі смуги по грудях та плями з боків сукні. Я відправляю її назад і замовляю іншу, сподіваючись на краще. Я дуже стурбована тим, що після чищення вона знову полиняє. Я так сильно люблю цю сукню, що готова ризикнути, але сумніваюся. Тож будьте...",0,material_and_quality
149a66dc-7145-5635-82eb-3bdd36461ab7,"Тонка водолазка для багатошаровості. Я замовила цю водолазку в білому кольорі і була дуже здивована, виявивши, що матеріал настільки тонкий і марлевий, що він прозорий. Мені точно доведеться носити білу майку під нею щоразу, навіть коли я використовую її як елемент багатошарового одягу. Здається, розмір відповідає дійсності, якщо не трохи маломірить. Горловина цікава, тому що вона така легка і м'яка... її можна регулювати кількома способами. Однак вона погано тримає форму. Я, швидше за все, залишу її, але ніколи не одягну без чогось і під неї, і зверху...",0,material_and_quality
a2a07bb9-7223-52f9-9db5-ae3970306f86,"Прозора і дивна. У мене є кілька схожих чорних бавовняних майок Pure and Good, в яких я проводжу уроки танців. Я сподівалася, що ці будуть такими ж. Я замовила блідо-блакитну, і вона повністю прозора, сидить щільно ззаду і вільно спереду. Я не хочу, щоб бюстгальтер/спортивний бюстгальтер просвічувався з боків або крізь тканину, це несмачно!",0,material_and_quality
1d083736-b2e6-5619-8792-7ac449b91831,"Very cute but will shrink! I loved this shirt! flattering and pretty. it's hand wash only or dry clean. i hand washed it and the blue t-shirt part of the shirt shrank, and now the front of the shirt is too short for me. would not recommend due to shrinkage... too bad.",0,material_and_quality
